13.68;1.83;2.36;17.2;104;2.42;2.69;.42;1.97;3.84;1.23;2.87;990;1
13.76;1.53;2.7;19.5;132;2.95;2.74;.5;1.35;5.4;1.25;3;1235;1
13.51;1.8;2.65;19;110;2.35;2.53;.29;1.54;4.2;1.1;2.87;1095;1
13.48;1.81;2.41;20.5;100;2.7;2.98;.26;1.86;5.1;1.04;3.47;920;1
13.28;1.64;2.84;15.5;110;2.6;2.68;.34;1.36;4.6;1.09;2.78;880;1
13.05;1.65;2.55;18;98;2.45;2.43;.29;1.44;4.25;1.12;2.51;1105;1
13.07;1.5;2.1;15.5;98;2.4;2.64;.28;1.37;3.7;1.18;2.69;1020;1
14.22;3.99;2.51;13.2;128;3;3.04;.2;2.08;5.1;.89;3.53;760;1
13.56;1.71;2.31;16.2;117;3.15;3.29;.34;2.34;6.13;.95;3.38;795;1
13.41;3.84;2.12;18.8;90;2.45;2.68;.27;1.48;4.28;.91;3;1035;1
13.88;1.89;2.59;15;101;3.25;3.56;.17;1.7;5.43;.88;3.56;1095;1
13.24;3.98;2.29;17.5;103;2.64;2.63;.32;1.66;4.36;.82;3;680;1
13.05;1.77;2.1;17;107;3;3;.28;2.03;5.04;.88;3.35;885;1
14.21;4.04;2.44;18.9;111;2.85;2.65;.3;1.25;5.24;.87;3.33;1080;1
14.38;3.59;2.28;16;102;3.25;3.17;.27;2.19;4.9;1.04;3.44;1065;1
13.9;1.68;2.12;16;101;3.1;3.39;.21;2.14;6.1;.91;3.33;985;1
14.1;2.02;2.4;18.8;103;2.75;2.92;.32;2.38;6.2;1.07;2.75;1060;1
13.94;1.73;2.27;17.4;108;2.88;3.54;.32;2.08;8.90;1.12;3.1;1260;1
13.05;1.73;2.04;12.4;92;2.72;3.27;.17;2.91;7.2;1.12;2.91;1150;1
13.83;1.65;2.6;17.2;94;2.45;2.99;.22;2.29;5.6;1.24;3.37;1265;1
13.82;1.75;2.42;14;111;3.88;3.74;.32;1.87;7.05;1.01;3.26;1190;1
13.74;1.67;2.25;16.4;118;2.6;2.9;.21;1.62;5.85;.92;3.2;1060;1
13.56;1.73;2.46;20.5;116;2.96;2.78;.2;2.45;6.25;.98;3.03;1120;1
14.22;1.7;2.3;16.3;118;3.2;3;.26;2.03;6.38;.94;3.31;970;1
13.29;1.97;2.68;16.8;102;3;3.23;.31;1.66;6;1.07;2.84;1270;1
13.72;1.43;2.5;16.7;108;3.4;3.67;.19;2.04;6.8;.89;2.87;1285;1
12.37;.94;1.36;10.6;88;1.98;.57;.28;.42;1.95;1.05;1.82;520;2
12.33;1.1;2.28;16;101;2.05;1.09;.63;.41;3.27;1.25;1.67;680;2
12.64;1.36;2.02;16.8;100;2.02;1.41;.53;.62;5.75;.98;1.59;450;2
13.67;1.25;1.92;18;94;2.1;1.79;.32;.73;3.8;1.23;2.46;630;2
12.37;1.13;2.16;19;87;3.5;3.1;.19;1.87;4.45;1.22;2.87;420;2
12.17;1.45;2.53;19;104;1.89;1.75;.45;1.03;2.95;1.45;2.23;355;2
12.37;1.21;2.56;18.1;98;2.42;2.65;.37;2.08;4.6;1.19;2.3;678;2
13.11;1.01;1.7;15;78;2.98;3.18;.26;2.28;5.3;1.12;3.18;502;2
12.37;1.17;1.92;19.6;78;2.11;2;.27;1.04;4.68;1.12;3.48;510;2
